"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","Age","Attitude","Points","gender"
"11",2,2,2,2,2,2,4,2,4,4,4,4,4,2,4,2,4,4,3,4,3,3,3,2,3,3,2,3,4,4,3,2,3,4,2,3,4,4,3,3,4,4,4,3,3,3,3,4,5,4,4,4,4,4,3,4,37,39,31,"M"
"12",5,1,2,1,1,1,5,1,4,5,3,4,4,1,5,2,4,4,1,4,4,4,5,1,3,4,2,3,3,4,5,4,5,5,1,3,5,5,3,4,5,3,5,3,4,3,3,4,4,5,4,2,3,5,4,4,34,38,31,"F"
"13",4,1,3,1,1,2,5,2,5,4,2,4,5,1,4,2,5,4,2,5,4,1,3,2,4,3,2,4,4,2,4,4,4,2,3,3,4,4,3,5,5,3,4,4,4,3,2,4,3,1,4,1,2,2,1,4,34,24,23,"F"
"14",2,1,3,1,1,1,4,4,3,3,2,4,4,2,4,1,2,3,2,4,2,3,4,2,4,2,4,4,2,4,4,4,2,4,3,5,4,2,2,5,2,3,3,4,5,4,2,5,5,2,4,1,3,2,1,5,34,30,25,"F"
"15",4,1,1,1,1,1,3,1,5,2,2,4,4,4,2,1,4,1,2,4,4,2,3,2,5,1,2,5,2,2,1,4,3,1,2,5,5,4,3,1,3,4,2,4,2,4,2,2,4,1,2,5,2,3,1,4,35,26,21,"M"
"16",1,1,1,1,1,1,5,2,4,4,4,3,3,3,2,2,3,3,4,3,3,2,3,1,3,2,2,3,3,2,3,3,3,3,3,3,3,4,5,3,4,5,5,4,3,5,2,2,4,1,4,2,3,1,1,5,46,25,0,"F"
"17",4,2,3,2,1,1,3,2,4,5,2,4,3,2,5,2,4,3,3,4,4,3,2,1,3,4,1,4,4,3,5,4,4,4,2,2,4,3,3,4,4,2,3,2,4,3,4,4,4,5,4,2,4,5,5,4,33,41,31,"F"
"18",3,1,1,1,1,1,3,2,5,2,3,4,5,4,1,3,4,1,2,5,3,4,1,3,3,1,1,5,5,3,1,5,2,1,2,4,4,3,3,5,3,3,4,3,5,3,2,4,3,4,3,1,3,1,1,4,32,26,20,"F"
"19",3,2,2,1,1,1,4,2,5,4,2,4,4,2,4,2,4,2,3,4,4,3,3,3,4,3,1,2,1,3,3,4,4,3,3,2,4,2,2,4,4,3,2,2,3,4,2,3,4,2,3,2,3,3,2,2,44,26,22,"F"
"20",2,1,1,1,1,1,4,3,4,4,4,3,4,4,2,4,4,3,4,4,4,4,3,1,4,2,4,4,5,4,4,5,4,2,4,4,5,4,2,5,4,4,4,4,3,4,1,2,2,2,2,1,2,1,1,3,29,17,9,"M"
"21",3,1,2,1,1,1,4,3,5,5,2,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,2,4,4,3,4,4,4,3,4,4,2,4,4,5,4,4,4,4,5,3,2,4,4,2,4,1,4,1,1,4,30,27,24,"F"
"22",4,4,4,4,4,4,3,2,4,3,2,4,4,4,3,2,4,2,1,4,3,2,3,1,4,2,1,4,4,3,3,4,4,2,2,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,3,4,5,3,4,27,39,28,"M"
"23",3,2,2,2,1,2,4,2,4,2,3,4,4,4,2,1,4,3,2,4,4,3,2,1,4,2,4,4,4,2,2,2,4,2,2,4,4,3,3,5,4,3,2,4,3,3,3,4,4,3,4,2,3,4,3,4,29,34,30,"M"
"24",4,1,2,1,1,1,5,4,5,5,1,3,4,3,4,2,5,3,2,5,4,3,2,3,5,4,3,4,2,3,2,5,4,4,3,3,4,4,2,5,3,4,5,3,5,3,2,4,4,2,3,1,3,2,2,4,31,27,24,"F"
"25",3,2,2,1,1,1,4,4,5,3,2,3,4,2,2,1,5,4,2,4,2,2,5,1,4,1,4,5,3,1,1,4,2,2,2,3,4,4,5,5,5,3,5,2,3,4,3,2,4,2,3,1,3,1,1,3,37,23,9,"F"
"26",2,2,1,1,1,1,2,2,5,2,2,4,4,4,4,1,4,1,5,4,2,4,2,1,4,1,2,2,4,2,1,5,3,1,2,4,4,4,1,4,2,5,4,2,4,2,2,5,5,5,5,2,4,2,2,5,26,37,26,"F"
"27",3,1,2,1,1,1,3,4,5,3,3,5,5,2,4,2,5,3,3,5,2,5,4,2,5,3,1,3,5,5,3,3,5,3,3,3,5,5,3,5,5,3,5,2,3,4,4,5,5,5,5,2,4,5,4,5,26,44,32,"F"
"28",2,2,1,1,1,1,5,4,5,4,4,4,4,1,4,4,4,4,3,4,2,4,3,1,4,4,2,4,4,4,5,4,4,3,1,4,4,4,4,5,5,4,4,4,5,4,4,5,5,4,5,2,4,3,4,5,30,41,32,"M"
"29",4,2,3,1,2,2,4,4,5,3,1,3,3,2,1,1,4,3,1,4,4,2,2,1,4,1,1,4,3,2,1,5,3,2,3,5,4,3,3,4,3,3,3,3,4,2,1,4,3,3,3,1,3,2,1,3,37,24,0,"F"
"30",3,1,2,1,1,1,4,1,5,4,2,4,4,2,4,2,3,2,2,4,3,1,2,1,3,5,3,3,3,2,4,2,4,4,2,4,5,4,4,5,4,3,4,3,3,4,4,4,3,5,4,4,2,1,5,5,33,37,33,"F"
"31",2,2,3,2,1,3,3,4,4,3,4,4,3,1,3,3,3,2,4,4,3,4,4,3,4,2,4,3,2,3,4,5,2,2,3,3,4,4,4,4,3,4,5,1,2,5,1,3,3,4,3,1,3,2,2,3,33,25,29,"F"
"32",2,4,2,2,1,2,4,4,4,3,3,5,4,2,4,4,5,2,4,4,2,5,5,3,4,2,2,3,4,5,2,5,2,2,3,2,4,5,5,4,5,3,5,4,4,4,4,3,4,2,4,2,4,2,2,3,28,30,30,"M"
"33",1,1,1,1,1,1,2,4,5,2,4,5,5,1,4,1,5,1,1,5,5,1,1,4,4,1,5,5,5,1,1,1,5,1,2,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,1,4,3,1,5,26,34,19,"M"
"34",4,1,1,1,1,1,5,2,5,2,2,4,4,2,4,1,3,4,2,5,2,1,4,1,4,1,2,4,3,2,4,4,2,2,2,3,4,4,4,5,4,4,4,2,5,4,3,4,4,4,4,1,4,4,2,2,27,32,23,"F"
"35",3,2,2,1,2,3,4,1,3,4,2,3,4,2,2,3,3,4,3,4,2,2,3,1,3,3,2,3,3,3,4,5,2,4,2,3,2,3,3,4,3,3,4,2,3,2,2,3,2,1,2,1,2,2,1,4,25,20,19,"F"
"36",4,3,1,1,1,1,4,2,4,4,2,4,3,3,3,1,4,3,3,4,4,3,3,1,4,3,3,3,3,3,2,4,3,2,2,4,4,4,3,5,4,2,4,4,4,4,2,4,4,1,2,1,2,2,1,5,31,24,12,"F"
"37",2,5,4,5,5,4,4,1,5,4,2,4,5,2,3,1,5,3,1,4,4,1,3,1,4,3,1,4,5,1,4,3,4,2,2,5,5,3,3,5,3,2,3,4,5,3,3,4,5,4,5,3,4,5,4,5,20,42,10,"M"
"38",4,4,5,5,5,5,5,1,4,4,1,5,3,3,1,5,5,1,5,5,3,1,1,1,4,1,1,5,2,1,1,5,3,1,5,5,5,5,4,4,2,2,2,2,1,5,1,4,4,1,1,1,1,1,1,1,39,16,11,"F"
"39",4,1,2,1,1,1,5,2,4,5,2,4,4,2,4,1,4,4,2,4,4,1,4,1,4,4,2,4,4,2,4,4,4,5,1,3,3,2,2,4,4,4,3,4,4,3,3,4,4,2,4,2,4,2,2,4,38,31,20,"M"
"40",3,3,1,1,2,3,4,5,4,5,2,3,5,1,4,2,2,5,4,4,2,1,2,1,3,3,2,3,2,2,2,5,3,4,2,4,4,2,1,4,3,3,4,4,3,2,4,5,5,5,4,1,3,4,2,5,24,38,26,"M"
"41",2,3,3,4,1,4,4,4,4,2,2,1,2,2,2,2,2,2,4,4,1,4,2,4,2,3,1,1,2,4,4,5,3,1,2,4,2,5,4,5,2,2,3,2,3,4,4,4,5,4,4,2,3,5,4,3,26,38,31,"M"
"42",4,1,2,1,1,2,2,3,4,1,4,4,5,4,1,4,2,2,2,4,5,4,1,4,2,1,1,2,2,4,1,5,2,1,2,4,4,4,2,5,4,5,4,2,4,3,3,5,4,2,4,2,3,3,2,5,25,33,20,"M"
"43",4,2,2,1,2,1,4,4,5,5,3,4,4,2,4,3,4,3,4,4,5,2,3,4,5,5,3,3,2,2,5,5,5,3,5,3,5,4,1,4,3,3,4,4,4,5,2,4,2,1,1,1,1,1,1,3,30,17,23,"F"
"44",3,2,1,1,1,2,4,2,4,4,4,4,3,4,2,2,2,2,2,4,2,4,4,2,2,2,2,2,2,4,4,4,2,2,4,4,4,4,4,5,3,4,4,3,4,4,2,4,4,1,2,1,3,2,1,5,25,25,12,"F"
"45",4,5,5,4,5,5,3,5,3,2,2,4,4,4,2,2,3,2,4,4,3,4,2,3,3,5,1,3,3,5,3,4,3,1,4,4,3,4,4,5,2,4,4,3,4,4,3,4,4,3,4,2,3,3,2,4,30,32,24,"M"
"46",2,1,2,1,1,1,5,1,5,5,4,4,5,2,5,1,5,5,4,4,2,1,5,2,5,4,2,4,2,2,5,5,4,5,3,1,5,5,4,5,5,2,5,2,4,5,2,5,5,2,5,1,4,4,2,5,48,35,17,"F"
"47",3,1,2,1,1,2,5,4,4,5,2,3,4,1,5,2,4,5,3,4,3,1,5,1,4,5,3,4,3,2,5,4,3,5,3,4,4,3,2,5,5,3,4,3,4,3,4,5,5,2,4,1,4,2,1,4,24,32,29,"F"
"48",4,1,1,1,1,1,5,5,5,5,4,5,5,3,4,1,4,5,4,5,4,4,4,2,4,5,4,5,4,4,3,4,5,4,4,5,5,4,3,5,4,4,3,4,4,3,4,5,5,4,5,2,5,3,4,5,40,42,23,"F"
"49",2,1,1,1,1,1,5,2,5,2,2,5,5,1,2,1,4,4,4,4,2,1,2,1,1,5,3,5,2,2,4,4,2,2,2,5,5,2,3,5,5,4,4,4,5,4,4,5,4,4,4,1,2,1,1,5,25,31,28,"M"
"50",2,1,2,1,1,1,4,3,4,4,4,5,2,1,5,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,5,5,3,3,4,3,3,5,5,4,4,4,5,3,3,5,4,5,5,4,5,2,4,2,3,5,23,39,31,"F"
"51",5,1,2,1,1,1,5,2,4,5,3,5,4,3,2,2,4,1,3,4,4,3,3,1,3,1,2,5,4,4,4,5,4,4,3,5,4,4,3,5,5,3,2,3,3,4,1,2,1,1,1,1,1,5,5,1,25,19,23,"F"
"52",4,2,3,2,1,1,2,1,3,2,2,2,1,4,2,2,4,2,2,4,2,2,4,1,1,2,4,2,4,5,4,5,4,2,2,3,5,5,5,3,4,5,5,2,2,5,1,2,2,4,2,1,1,2,1,5,23,21,25,"F"
"53",2,1,1,1,1,1,3,5,5,5,2,3,4,3,2,1,4,2,1,4,5,2,3,1,5,5,4,5,2,1,4,2,3,1,3,5,5,4,3,4,3,5,5,5,5,3,1,5,4,3,2,1,2,1,1,5,27,25,18,"M"
"54",4,1,2,2,3,2,4,4,4,2,2,4,3,2,4,1,3,2,4,4,4,2,4,3,4,4,1,3,3,4,4,5,3,2,3,4,4,5,1,5,4,2,3,3,3,3,2,4,4,4,4,1,3,3,3,4,25,32,19,"M"
"55",4,1,1,1,1,2,4,2,3,2,4,2,4,4,2,1,3,2,4,4,4,5,4,1,3,1,4,1,2,4,1,5,3,1,3,3,2,4,1,4,4,2,4,1,3,4,3,2,2,5,2,3,2,5,4,4,23,32,22,"M"
"56",3,2,2,1,1,1,4,4,5,2,2,4,4,2,4,1,4,1,2,4,4,2,4,2,5,2,3,4,2,4,4,5,3,1,3,4,5,5,4,5,4,5,5,3,5,4,1,4,3,4,4,1,1,1,2,5,23,26,25,"F"
"57",3,2,1,1,2,2,3,4,4,2,2,3,4,4,1,3,4,3,2,4,3,4,4,2,2,1,3,2,2,4,3,5,3,2,2,2,2,4,2,4,4,4,3,3,4,4,2,3,2,3,3,1,3,2,2,2,23,23,21,"F"
"58",4,1,2,1,1,1,4,4,4,4,2,2,5,2,4,2,2,2,4,5,1,2,4,5,4,1,2,5,2,2,4,5,2,2,4,2,2,5,4,5,4,1,5,4,4,4,4,5,5,4,5,1,4,3,2,5,45,38,9,"F"
"59",3,1,4,2,1,1,5,1,5,5,2,4,4,1,3,1,5,4,3,5,4,4,3,1,4,4,2,4,3,4,5,4,3,3,1,3,5,4,1,5,5,3,4,3,4,3,4,4,2,3,2,1,2,2,4,4,22,28,28,"F"
"60",2,1,2,1,1,1,5,2,4,2,4,3,5,2,4,1,3,5,3,4,2,5,3,1,4,4,2,1,2,5,4,5,2,5,4,1,4,5,5,5,4,5,5,2,3,5,2,2,2,5,3,2,2,5,5,5,23,33,25,"F"
"61",4,2,3,3,1,3,2,2,4,1,1,4,3,4,2,1,3,4,3,4,4,3,2,1,2,1,1,4,2,3,5,4,3,1,3,5,4,4,3,5,3,4,4,4,5,2,4,5,5,5,5,4,5,5,5,5,21,48,29,"M"
"62",3,1,1,1,1,1,4,2,5,3,1,5,5,1,3,1,3,3,2,4,4,2,3,1,3,3,1,5,3,2,4,3,5,3,1,5,5,4,1,4,3,3,4,2,3,2,4,3,4,5,4,3,4,4,5,4,21,40,33,"M"
"63",3,3,2,2,1,1,4,2,5,3,2,4,4,3,4,1,4,4,1,5,4,3,3,2,4,4,2,5,4,3,4,2,3,3,2,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,40,33,"F"
"64",3,1,1,1,1,1,4,1,5,2,2,2,4,4,5,1,4,4,1,5,2,2,4,1,2,3,2,3,4,2,5,4,3,2,1,5,2,4,2,4,4,2,4,2,5,2,5,5,5,4,5,4,5,5,4,5,21,47,25,"F"
"65",2,1,1,1,1,2,4,4,5,2,2,2,2,2,2,2,4,2,2,2,2,4,4,2,4,1,1,4,2,4,4,5,4,1,2,2,4,4,2,5,5,4,5,2,5,5,2,3,2,4,2,1,2,2,2,3,26,23,18,"F"
"66",1,2,1,1,1,1,4,2,5,2,4,5,5,2,2,1,5,1,4,4,4,3,2,1,4,2,2,4,5,2,1,4,4,1,4,5,5,5,2,5,3,2,5,5,5,2,2,5,5,2,4,1,4,2,1,5,25,31,22,"F"
"67",4,2,2,1,2,1,2,2,4,1,2,3,4,2,1,1,2,2,2,4,4,2,2,2,4,2,4,4,1,2,4,4,2,2,2,5,4,4,2,4,4,2,4,4,4,4,2,4,4,2,2,1,2,4,2,4,26,27,17,"F"
"68",4,1,2,2,2,2,3,1,4,2,2,2,4,4,3,2,4,1,2,3,3,2,2,1,4,1,1,4,3,2,2,5,3,1,1,3,4,4,3,4,3,3,4,3,5,4,3,4,4,5,4,5,3,5,4,4,21,41,25,"M"
"69",5,5,5,5,5,5,5,1,4,4,2,4,4,2,2,2,4,2,2,4,4,4,4,2,4,1,1,4,2,4,2,5,2,1,1,2,4,2,4,5,5,5,5,4,4,5,2,5,5,2,5,1,5,2,2,5,22,34,0,"F"
"70",3,2,2,1,1,1,4,2,5,4,4,4,2,2,4,1,4,5,4,4,3,2,4,1,4,3,4,3,2,4,4,3,2,4,3,4,4,4,1,5,4,1,4,4,4,4,2,4,5,3,5,1,4,3,3,4,23,34,28,"F"
"71",3,2,1,1,1,2,4,1,4,2,2,4,4,2,3,1,3,4,2,4,3,2,2,1,5,2,3,3,2,2,4,4,4,2,3,3,4,4,3,5,4,3,5,2,4,2,3,4,2,1,3,1,2,3,2,4,22,25,22,"F"
"72",1,2,2,1,1,1,1,1,1,4,2,1,2,2,5,3,2,5,1,2,2,3,3,1,1,4,4,2,2,2,5,1,1,4,1,2,1,1,1,1,3,2,2,4,3,1,2,1,1,1,1,5,2,5,2,1,22,21,26,"F"
"73",2,1,1,1,1,1,2,4,5,2,2,3,4,4,2,2,4,4,3,4,2,3,4,1,3,1,2,3,2,4,4,4,2,1,2,4,4,4,3,1,2,3,1,3,1,3,1,1,3,1,2,1,1,1,1,2,22,14,11,"F"
"74",1,2,3,2,1,1,4,4,5,2,2,4,5,2,2,3,5,2,2,5,4,2,3,3,5,2,4,4,4,2,5,5,3,2,3,4,4,3,2,4,5,2,2,1,5,4,2,4,3,2,1,1,2,1,1,2,23,19,29,"F"
"75",2,1,2,1,1,2,5,1,4,4,4,4,5,2,4,2,4,5,1,5,4,2,4,1,4,4,2,4,5,2,5,2,4,5,2,5,5,4,2,5,4,2,4,4,5,4,4,4,4,1,4,3,3,5,4,5,22,37,22,"M"
"76",2,5,5,5,5,5,4,2,5,3,2,3,5,1,4,2,5,4,3,5,5,2,5,2,4,4,3,4,4,2,2,5,5,2,3,5,5,5,3,5,4,5,5,3,4,4,4,5,5,2,5,2,4,5,4,5,25,41,0,"M"
"77",3,1,1,1,1,1,4,1,5,4,3,5,5,1,4,1,5,3,1,5,5,2,3,1,5,4,4,5,4,4,4,4,4,1,1,5,5,5,1,5,3,1,4,3,5,3,1,4,3,5,3,4,2,4,2,4,23,32,21,"M"
"78",4,1,2,1,1,1,4,2,4,2,1,3,2,4,2,1,5,3,3,2,3,2,3,2,3,4,2,3,4,2,1,4,3,2,3,1,4,3,2,5,5,3,4,2,4,3,4,3,4,2,3,2,3,2,2,3,24,28,28,"M"
"79",5,2,3,1,1,1,2,5,4,4,3,2,2,1,5,3,4,5,2,3,3,1,4,4,4,5,2,2,2,1,5,5,4,3,2,2,4,4,1,5,4,4,4,3,3,3,4,4,5,5,3,4,4,4,3,5,22,41,33,"F"
"80",2,1,1,1,1,1,4,4,4,3,4,5,4,2,2,1,4,4,3,5,4,4,4,2,4,1,3,4,3,4,1,5,4,2,2,3,5,5,5,5,3,3,5,2,4,5,2,5,4,1,4,1,1,1,1,5,23,25,16,"F"
"81",5,2,1,1,1,1,4,1,5,2,1,3,5,1,2,1,5,2,1,5,2,3,2,1,2,4,1,4,5,3,1,5,4,1,1,5,4,2,1,5,4,3,3,4,5,4,3,4,3,3,1,1,3,5,2,3,22,28,31,"M"
"82",2,5,4,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,4,3,4,4,3,1,4,2,1,3,3,2,1,5,4,2,2,4,4,5,4,4,2,5,5,3,5,4,3,4,3,4,3,4,3,5,4,5,20,38,22,"M"
"83",3,3,3,2,1,3,4,5,4,2,3,3,3,2,4,4,4,3,3,3,2,2,2,4,4,4,2,2,2,5,4,4,4,1,2,3,3,4,3,4,4,4,4,2,3,5,3,4,3,4,3,2,2,3,4,3,22,31,31,"M"
"84",4,1,1,1,1,1,3,3,5,1,3,5,5,4,2,3,5,1,3,5,4,1,3,1,5,1,2,5,5,2,1,3,3,1,4,5,5,5,4,5,4,1,2,5,5,4,3,3,5,4,5,1,3,3,3,5,21,35,23,"M"
"85",5,1,2,2,1,1,3,2,5,3,2,4,5,4,2,1,5,2,2,4,5,3,2,4,4,1,2,4,3,2,1,4,4,1,2,4,4,2,1,5,4,4,2,5,5,3,3,4,5,3,4,3,4,2,3,5,22,36,26,"F"
"86",3,1,1,2,1,1,5,2,5,3,3,5,5,2,4,1,4,3,3,4,3,2,3,1,5,3,3,3,3,2,3,4,3,3,2,5,5,4,4,5,3,3,4,2,5,3,2,3,3,3,2,2,2,4,3,2,23,26,12,"F"
"87",3,1,3,1,1,1,5,3,5,5,2,3,5,3,5,3,4,3,1,5,3,3,5,1,5,2,2,5,4,2,2,3,4,3,2,5,5,4,2,5,4,3,3,3,5,5,3,5,5,5,5,3,4,4,5,5,21,44,26,"M"
"88",4,2,2,1,1,2,2,4,4,2,2,5,4,1,2,2,4,2,2,2,4,1,2,4,4,2,1,4,4,4,4,5,4,1,1,2,5,4,2,5,2,2,1,4,4,4,4,4,5,5,5,4,5,4,5,4,22,45,31,"M"
"89",3,2,2,1,1,1,4,2,5,2,3,2,4,2,3,4,4,2,2,4,3,2,4,4,4,1,2,2,2,4,1,5,4,2,1,2,4,5,4,4,4,5,4,3,3,2,2,4,2,4,2,3,2,5,4,4,29,32,19,"M"
"90",2,1,2,1,1,1,3,2,4,2,3,3,3,2,2,2,3,1,1,4,4,3,3,1,4,1,1,3,3,3,1,5,3,1,1,3,4,4,4,5,3,5,4,3,5,5,1,4,3,1,3,1,1,1,1,4,26,20,0,"F"
"91",3,2,2,1,1,2,3,2,4,3,3,2,3,2,4,1,4,2,2,4,2,1,4,2,4,2,2,2,2,2,1,1,4,3,2,4,3,4,2,5,3,4,5,3,4,4,4,4,5,5,5,2,4,2,3,5,29,39,30,"F"
"92",2,2,1,1,1,1,5,1,4,2,4,2,4,2,4,4,4,2,4,4,2,2,3,1,4,4,5,2,4,4,4,5,2,1,4,4,2,5,5,2,4,4,5,2,2,5,2,4,4,2,4,1,2,1,1,4,21,25,12,"F"
"93",5,3,5,5,5,5,4,2,5,4,5,4,4,2,3,2,4,5,2,4,4,3,2,1,3,4,3,3,4,3,4,5,2,2,2,4,5,4,4,4,3,3,4,2,4,3,3,4,4,2,4,2,3,5,2,4,28,33,17,"M"
"94",2,1,2,3,2,1,2,4,5,4,4,3,5,2,1,5,5,1,2,4,5,2,2,2,4,1,4,4,5,4,1,5,4,1,3,2,4,4,3,5,4,4,2,3,4,3,2,5,5,3,4,1,5,2,3,5,23,35,0,"M"
"95",2,4,3,5,5,5,4,1,5,3,2,5,4,2,5,2,5,2,1,5,4,2,3,1,4,1,3,3,3,3,1,5,4,2,1,4,5,4,2,5,4,4,5,4,4,5,2,4,5,3,4,1,3,5,1,5,21,33,18,"F"
"96",3,2,2,1,1,1,4,2,5,4,4,4,4,2,2,2,4,4,3,5,4,4,4,1,4,2,2,3,2,2,4,4,3,3,2,4,4,5,3,5,4,4,5,2,4,5,2,4,4,3,2,1,4,2,4,4,30,30,19,"F"
"97",2,2,1,1,1,1,4,4,5,2,3,2,4,3,1,4,5,2,4,4,2,4,3,2,5,1,5,4,2,4,4,5,4,1,4,2,5,5,3,5,5,4,5,4,5,3,1,5,4,4,4,1,3,1,2,4,21,29,21,"F"
"98",3,1,2,1,1,1,4,3,5,3,3,4,4,2,2,1,4,3,2,4,4,2,3,2,2,4,3,2,4,2,3,4,4,2,2,5,4,2,2,4,4,3,4,4,4,3,3,3,4,4,3,1,4,3,4,4,23,33,24,"M"
"99",3,5,5,5,5,5,4,1,4,3,4,2,4,1,4,2,4,4,1,4,4,3,4,1,4,4,4,3,4,4,5,4,4,4,3,4,5,5,4,4,3,4,4,2,4,4,3,4,4,4,4,1,3,2,4,4,21,33,28,"F"
"100",3,4,4,4,5,4,4,3,4,2,4,4,5,1,4,2,4,4,4,5,2,2,4,1,2,4,3,4,4,2,4,4,4,2,2,4,4,5,4,4,4,2,4,2,2,4,3,4,3,4,4,2,3,4,3,5,21,35,17,"F"
"101",3,1,1,1,1,1,2,2,4,2,3,4,3,3,2,2,3,4,4,3,3,2,3,3,3,2,2,3,4,2,4,4,4,2,3,5,5,5,2,4,3,3,4,3,3,4,3,5,5,3,4,2,4,3,2,5,20,36,18,"F"
"102",3,2,2,1,1,1,4,4,5,4,3,3,4,2,4,1,5,2,3,4,4,2,4,1,5,2,1,2,4,5,2,4,5,1,2,4,5,4,1,5,4,4,5,1,5,3,2,5,5,4,5,4,4,5,4,4,21,42,0,"M"
"103",1,1,2,1,1,1,4,2,5,2,2,4,4,2,2,1,4,2,2,4,4,1,2,1,4,2,2,5,4,2,4,4,4,2,2,5,5,4,2,4,4,3,5,2,5,4,2,4,4,5,4,2,3,5,4,4,22,37,17,"M"
"104",2,5,5,5,5,5,4,4,4,3,4,5,5,4,3,2,5,4,3,5,4,4,5,1,4,2,4,4,2,3,3,4,5,2,5,5,5,5,5,5,5,5,5,4,5,5,3,5,4,1,4,1,3,1,2,4,35,28,0,"F"
"105",4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,4,5,3,4,4,5,5,5,4,3,4,3,4,4,3,4,4,5,5,5,5,5,1,5,1,5,5,21,42,23,"M"
"106",4,3,2,2,1,2,4,4,3,2,4,1,2,4,2,3,4,1,3,4,2,3,2,4,2,1,2,3,2,4,3,4,2,1,2,4,3,4,3,5,3,4,4,4,4,3,1,3,2,4,1,1,2,4,2,2,22,22,0,"M"
"107",3,1,1,1,1,1,4,4,5,3,2,3,4,1,4,2,5,4,1,5,3,2,3,4,4,4,3,4,4,4,5,4,4,2,2,4,5,5,3,5,5,4,5,3,5,3,3,4,3,4,3,2,3,2,4,4,21,32,26,"M"
"108",2,1,1,1,1,1,5,5,5,4,4,4,4,1,5,4,5,5,3,4,3,3,5,3,5,4,2,3,4,4,1,5,5,4,2,3,3,5,1,1,1,1,1,4,1,1,5,5,5,5,5,5,5,5,5,5,20,50,28,"F"
